loan_amount,term_months,interest_rate,installment,annual_income,dti_ratio,fico_score,employment_length,open_credit_lines,revol_util,credit_history_years,num_delinquencies,home_ownership_encoded,loan_purpose_encoded,state_encoded,default
16400.0,60,11.29,399.9,17000.0,25.96,715,4,3,91.52,14,0,2,9,14,0
16500.0,36,8.93,345.91,23000.0,27.14,741,1,4,26.42,5,1,2,1,31,0
6600.0,36,6.88,18.62,40000.0,18.83,798,0,7,24.08,26,0,2,1,7,1
35400.0,36,16.55,597.0,73000.0,2.9,567,9,7,46.77,19,1,1,0,43,0
33800.0,36,4.72,9.61,39000.0,20.0,688,5,10,39.09,23,1,1,0,16,1
26500.0,60,18.5,821.41,96000.0,6.05,745,0,8,43.56,2,2,0,1,37,1
200.0,36,9.21,80.36,63000.0,15.71,618,2,13,45.84,8,1,1,8,7,1
35000.0,36,16.76,1027.47,13000.0,38.63,759,4,5,30.76,24,1,2,2,33,0
700.0,36,2.17,386.41,59000.0,29.86,670,3,8,51.6,3,0,1,6,18,1
27400.0,60,15.23,592.25,45000.0,22.19,700,7,2,33.49,13,1,0,1,16,0
2300.0,36,4.77,365.06,43000.0,29.69,787,0,11,54.38,1,0,2,5,9,0
54300.0,36,15.42,195.35,55000.0,3.78,634,3,9,68.31,10,3,2,2,43,0
72700.0,36,9.77,583.27,100000.0,7.5,556,6,3,20.1,11,0,0,6,28,0
42100.0,36,6.82,283.79,68000.0,9.68,483,7,12,59.25,14,3,2,2,37,0
15000.0,36,10.71,828.52,34000.0,27.54,740,3,7,35.13,21,0,0,5,6,0
26700.0,36,2.81,912.59,57000.0,18.91,647,8,4,60.39,29,0,2,4,32,0
700.0,36,12.65,351.1,91000.0,19.99,694,6,10,58.79,19,1,1,7,47,0
32600.0,60,15.55,630.63,85000.0,20.94,582,7,11,38.92,20,1,2,5,32,1
11900.0,36,10.39,469.5,66000.0,25.51,676,2,4,0.0,6,1,2,3,14,1
27900.0,36,8.83,435.79,46000.0,22.5,593,7,12,69.91,10,0,1,5,31,0
18100.0,60,20.1,1213.97,5000.0,58.65,768,8,10,0.0,13,0,1,4,49,0
41900.0,60,17.65,629.47,43000.0,23.86,644,9,1,84.76,8,3,0,1,49,0
43900.0,36,14.9,177.09,102000.0,23.17,640,0,13,44.87,18,0,2,7,1,1
1400.0,36,9.76,762.03,49000.0,18.11,630,4,3,21.6,9,0,0,8,22,0
16800.0,60,2.66,918.48,30000.0,47.9,725,5,7,24.13,7,3,1,3,43,0
25100.0,36,6.65,618.22,20000.0,59.46,743,5,7,35.78,22,1,0,4,9,0
6300.0,60,13.24,660.19,42000.0,23.59,717,9,1,27.88,4,3,2,0,9,0
4400.0,60,2.5,549.02,44000.0,32.81,715,10,7,10.41,20,1,0,0,11,0
700.0,36,5.32,564.97,34000.0,4.8,674,2,3,47.85,18,0,1,3,33,0
9900.0,36,2.44,757.35,58000.0,23.98,709,6,5,35.44,4,0,2,8,35,0
49200.0,60,7.38,515.79,45000.0,42.82,690,1,11,65.57,4,1,2,0,10,1
11500.0,60,10.73,154.16,56000.0,6.64,770,0,2,0.45,6,1,1,0,39,0
43100.0,36,17.68,66.65,88000.0,14.76,610,5,3,39.05,25,1,0,0,31,1
62400.0,36,10.54,272.91,66000.0,27.14,757,4,10,53.53,3,0,0,3,13,1
62600.0,36,7.04,301.47,33000.0,36.65,658,1,1,68.67,8,1,1,6,48,0
20400.0,36,2.95,722.64,68000.0,28.95,804,5,13,42.71,5,3,0,5,33,0
31200.0,60,9.32,1091.12,53000.0,15.75,694,7,8,55.32,15,0,1,4,14,0
20500.0,36,17.41,826.38,32000.0,12.11,666,3,10,40.16,6,3,1,7,36,1
25300.0,60,10.7,650.22,47000.0,6.83,782,3,5,25.06,1,0,2,8,10,1
25900.0,60,4.72,319.61,28000.0,29.49,707,0,5,62.21,18,1,1,8,30,1
500.0,36,11.94,401.17,73000.0,7.87,616,3,11,54.57,6,1,2,9,8,1
44500.0,36,13.69,632.7,18000.0,38.12,583,3,12,7.11,29,3,2,6,14,0
8900.0,60,15.46,731.17,45000.0,19.58,730,6,2,13.44,11,1,1,3,48,0
38700.0,60,4.79,150.27,56000.0,14.81,548,10,7,75.13,29,0,0,1,21,0
10700.0,60,14.53,771.15,17000.0,30.48,658,3,9,28.21,16,1,0,1,20,0
46000.0,60,13.69,595.82,25000.0,43.2,708,0,8,35.52,18,1,2,1,17,0
44100.0,60,14.82,1020.65,48000.0,21.39,532,10,10,16.89,21,2,1,6,21,0
49200.0,36,10.72,20.97,54000.0,14.04,652,8,5,72.03,14,0,1,3,25,1
36400.0,60,11.97,59.26,110000.0,11.8,575,3,4,27.28,28,1,2,7,47,1
8300.0,60,11.69,574.55,69000.0,12.36,671,9,11,0.0,8,0,0,8,10,1
37400.0,36,14.06,254.39,56000.0,2.38,576,5,2,22.81,23,1,2,4,0,1
42800.0,60,13.56,18.56,77000.0,2.8,577,4,11,52.58,25,1,1,8,22,1
73700.0,60,13.13,578.8,68000.0,6.17,694,1,7,8.66,16,0,1,5,48,0
26200.0,60,7.13,4.77,106000.0,12.24,667,9,12,34.64,29,2,1,1,14,1
700.0,36,12.64,618.33,58000.0,6.56,652,6,9,28.62,27,2,0,4,36,0
26700.0,36,5.47,575.92,40000.0,22.26,851,8,13,24.61,24,1,0,4,18,1
7800.0,36,6.3,612.67,64000.0,7.51,660,7,12,70.26,18,4,2,0,38,0
40000.0,36,8.33,583.22,29000.0,31.7,684,8,13,11.21,26,1,2,3,21,0
70300.0,36,15.48,81.93,58000.0,4.28,684,10,6,35.53,4,2,1,5,17,1
12800.0,36,24.0,792.79,19000.0,37.35,753,4,6,0.0,11,0,2,9,35,0
20100.0,60,22.32,487.47,57000.0,16.23,700,3,7,42.07,20,1,1,7,45,0
35400.0,36,0.74,450.15,47000.0,50.81,765,3,9,41.48,12,1,0,3,7,1
37900.0,36,4.85,111.28,36000.0,20.35,770,1,6,53.17,25,3,0,7,47,1
25600.0,36,18.94,678.55,74000.0,3.71,625,9,14,42.26,23,0,0,5,36,0
27800.0,60,6.15,439.16,37000.0,22.09,755,2,13,35.79,15,1,1,9,6,1
37700.0,60,14.54,1228.62,34000.0,27.14,531,4,4,18.0,26,1,2,3,16,0
6400.0,60,19.58,715.9,21000.0,23.39,729,8,8,54.36,15,1,0,6,7,0
27000.0,60,10.36,363.83,64000.0,5.44,741,7,5,14.4,6,1,1,0,48,0
35600.0,60,7.93,924.68,12000.0,61.02,753,5,6,67.77,1,0,2,5,17,0
20700.0,60,17.7,142.38,49000.0,15.18,677,8,13,47.7,4,0,0,0,23,0
8900.0,60,8.03,507.51,60000.0,15.41,649,0,14,36.98,25,0,2,9,10,0
30500.0,36,16.58,564.89,39000.0,28.66,750,3,13,19.36,3,1,0,0,44,0
24800.0,60,6.31,660.3,61000.0,16.82,857,1,2,38.84,8,0,0,5,4,0
31400.0,36,8.84,638.53,31000.0,12.39,593,0,13,28.45,26,2,1,2,47,0
1600.0,36,8.76,477.07,40000.0,9.86,695,6,5,38.23,8,1,0,6,32,0
56200.0,36,11.83,295.25,49000.0,5.39,708,9,5,16.86,19,0,2,1,36,1
51800.0,60,8.0,775.73,67000.0,10.73,677,4,1,33.73,11,1,2,6,4,1
35100.0,60,9.52,523.58,51000.0,17.3,654,6,3,64.9,9,5,0,0,17,1
29200.0,60,13.77,1082.99,36000.0,38.98,656,4,2,22.68,19,1,0,2,45,0
48500.0,36,15.93,1152.06,34000.0,26.12,675,10,4,31.55,3,1,0,4,32,0
11400.0,36,2.5,141.06,53000.0,30.83,776,10,3,30.93,5,1,0,9,0,0
20500.0,36,10.4,1348.94,39000.0,24.81,529,6,10,0.0,29,1,1,5,4,0
40100.0,36,10.25,2.34,59000.0,4.31,607,9,14,69.57,18,0,1,6,12,0
23700.0,36,0.23,1217.74,85000.0,37.02,808,8,14,12.16,15,0,0,9,7,0
35100.0,36,16.7,32.3,100000.0,22.76,603,6,3,19.49,15,0,2,8,44,1
17500.0,36,16.58,739.33,25000.0,20.88,721,10,8,47.88,23,0,2,7,35,0
20000.0,60,14.73,853.99,30000.0,15.47,618,5,3,26.26,29,2,0,3,19,0
24900.0,60,15.54,954.52,58000.0,13.05,675,9,5,42.76,2,2,2,8,42,0
19800.0,60,8.78,588.08,37000.0,31.67,705,9,11,40.5,27,2,0,2,26,0
34200.0,60,12.47,379.98,47000.0,11.99,630,7,7,19.98,29,0,2,6,36,0
12100.0,36,7.93,769.72,36000.0,39.68,789,1,6,35.42,8,1,1,5,47,0
12500.0,60,12.14,404.36,44000.0,13.41,789,8,11,8.48,3,0,0,2,0,0
35100.0,36,12.01,2.42,57000.0,6.45,732,6,8,38.36,23,1,2,1,46,1
14100.0,60,5.55,307.98,54000.0,25.23,702,0,4,50.77,28,1,2,1,20,1
8300.0,36,10.98,809.22,41000.0,33.66,690,8,6,18.25,1,1,0,6,21,0
31200.0,36,19.24,417.02,35000.0,21.15,697,1,6,36.62,2,0,0,3,31,0
300.0,36,9.84,812.94,62000.0,24.14,828,0,4,39.65,19,1,0,1,47,0
5100.0,36,3.08,1217.97,28000.0,61.59,639,2,9,69.97,17,0,1,7,24,0
33500.0,36,11.97,734.12,60000.0,25.84,753,7,14,9.43,4,0,0,5,14,1
6800.0,60,12.35,384.46,37000.0,34.18,760,5,2,43.2,14,3,1,1,37,1
2300.0,36,8.78,391.99,36000.0,35.73,751,5,5,24.16,5,1,0,4,47,0
2100.0,60,9.99,349.56,76000.0,3.67,613,8,4,46.56,5,0,0,3,25,1
41200.0,60,16.65,764.41,53000.0,17.19,669,8,3,45.3,20,1,0,6,44,0
67800.0,60,13.79,721.82,87000.0,6.41,664,9,6,56.14,11,1,0,5,10,1
26100.0,36,17.01,970.26,32000.0,12.0,672,9,12,0.0,8,1,2,6,7,0
47100.0,36,11.15,628.49,16000.0,13.86,786,3,10,59.28,10,1,0,1,46,1
33800.0,36,14.82,307.8,103000.0,17.85,554,8,3,72.96,7,3,2,5,19,0
56300.0,60,6.83,265.8,55000.0,17.36,683,2,14,50.88,15,0,0,7,29,1
33300.0,60,7.47,786.3,23000.0,44.3,742,2,4,50.85,21,2,1,4,31,0
42600.0,36,0.12,450.89,46000.0,27.83,758,4,3,52.16,17,1,0,3,5,0
35500.0,36,3.42,794.58,42000.0,48.85,749,2,3,45.52,14,0,2,1,12,0
34700.0,60,9.15,347.07,94000.0,14.68,717,4,10,53.62,3,1,2,3,9,1
58600.0,60,7.4,812.18,37000.0,28.12,625,6,14,11.64,21,1,2,1,14,0
26000.0,60,13.35,348.48,55000.0,5.06,612,8,2,61.94,26,2,2,7,36,1
45700.0,36,15.29,674.19,61000.0,13.97,688,9,11,60.92,3,1,0,9,36,0
38000.0,60,15.03,646.38,92000.0,6.81,607,5,3,59.7,15,0,2,7,8,0
36300.0,36,8.63,515.74,52000.0,16.48,605,10,8,46.32,9,1,0,5,46,1
35800.0,60,5.97,299.3,69000.0,26.71,712,3,3,60.25,2,1,1,0,34,1
6200.0,60,5.36,563.08,34000.0,55.11,768,1,12,17.86,10,1,2,3,23,0
59400.0,60,10.27,199.14,45000.0,9.77,761,3,8,0.0,3,0,2,8,40,1
19100.0,60,9.03,1179.06,32000.0,51.11,765,0,11,62.83,15,1,2,5,38,0
25600.0,60,15.54,814.72,42000.0,14.69,622,1,14,56.08,8,1,2,4,46,0
53800.0,60,11.22,310.53,93000.0,3.46,622,8,11,20.14,21,0,0,7,44,0
45600.0,36,19.04,1007.83,54000.0,9.58,542,7,14,46.53,1,2,2,6,47,0
27300.0,36,13.21,110.15,31000.0,10.76,651,1,13,40.62,13,1,2,0,15,0
15000.0,36,0.83,1229.89,69000.0,33.41,735,1,6,15.71,9,0,2,2,47,0
52800.0,36,4.72,227.29,34000.0,21.41,709,10,13,49.02,11,0,0,0,14,1
26800.0,60,18.51,712.06,80000.0,2.27,568,10,8,38.7,26,0,2,8,35,0
24300.0,60,21.49,1132.57,64000.0,0.24,696,9,4,40.56,10,1,1,5,37,0
31200.0,36,5.3,260.85,60000.0,6.06,726,6,4,40.53,19,0,2,8,49,1
27800.0,60,13.86,1073.37,30000.0,32.1,668,1,14,54.46,2,0,0,5,37,0
30400.0,36,19.28,829.02,37000.0,35.47,683,2,1,39.24,21,2,0,3,24,0
20000.0,36,6.85,211.86,41000.0,7.76,506,1,2,53.25,24,3,2,7,5,0
1000.0,36,5.17,913.21,52000.0,2.4,561,5,12,56.71,7,3,1,7,37,0
49000.0,60,17.72,846.55,31000.0,28.95,575,5,4,62.64,15,2,0,0,1,0
7900.0,36,8.26,259.86,65000.0,1.09,744,8,14,35.03,23,0,1,2,32,1
23600.0,60,13.78,45.1,95000.0,20.6,687,0,3,24.3,10,1,2,7,32,1
16900.0,60,11.43,550.08,50000.0,29.67,695,3,12,31.25,22,1,2,1,49,1
19200.0,60,5.75,421.33,46000.0,21.18,793,0,7,44.51,12,0,2,5,39,0
48800.0,60,14.81,457.1,91000.0,27.01,586,7,10,75.66,3,1,2,3,15,1
17600.0,60,11.12,916.3,24000.0,16.26,597,0,8,47.3,13,1,2,9,24,0
32100.0,36,3.15,550.52,58000.0,15.54,603,5,2,36.46,26,1,1,0,11,1
48800.0,36,8.52,839.34,72000.0,9.74,525,1,10,58.12,6,0,2,7,22,0
7200.0,60,7.25,593.42,58000.0,17.33,724,9,4,46.8,1,0,0,4,19,0
42800.0,60,9.15,542.69,52000.0,17.5,769,0,11,55.33,27,0,0,9,0,0
21800.0,36,8.45,300.81,80000.0,3.43,546,0,2,67.58,21,1,0,3,23,1
10300.0,36,7.57,828.9,44000.0,24.52,621,1,3,42.06,10,1,0,8,9,0
53900.0,36,9.4,43.54,58000.0,9.83,736,8,1,20.53,18,0,0,4,30,1
39100.0,60,18.29,606.85,75000.0,21.95,612,10,10,27.08,21,2,2,2,47,0
9300.0,36,10.26,782.82,23000.0,35.46,711,10,2,31.67,12,1,1,4,15,0
24300.0,60,5.36,709.89,51000.0,4.14,635,9,2,63.7,22,3,2,8,28,0
30300.0,60,5.54,129.47,45000.0,7.55,721,10,3,18.45,22,1,2,4,16,1
82000.0,36,17.06,517.64,75000.0,19.17,569,7,2,71.69,5,2,1,2,32,1
33500.0,60,10.93,96.49,26000.0,18.32,620,2,13,51.25,5,1,2,2,29,0
9300.0,36,14.18,74.18,49000.0,0.44,699,1,4,37.26,8,1,0,8,38,1
13300.0,36,3.0,516.16,52000.0,20.01,728,7,12,51.86,23,1,2,7,15,0
28000.0,60,3.47,58.94,34000.0,41.62,684,9,7,57.1,28,1,0,6,20,1
33900.0,36,8.43,509.76,30000.0,34.15,664,10,4,21.56,21,2,0,8,10,0
57200.0,36,0.91,18.72,53000.0,18.62,710,5,4,4.89,25,1,2,9,0,1
31200.0,60,14.22,618.99,40000.0,15.26,685,4,14,51.53,16,0,1,8,22,0
6800.0,36,4.16,1134.72,44000.0,39.73,788,5,11,50.64,8,0,1,4,17,0
46500.0,60,11.21,516.77,38000.0,34.71,635,1,3,45.29,2,1,2,0,16,0
10200.0,60,15.32,1141.21,39000.0,15.96,632,10,6,54.49,21,3,1,3,27,0
19400.0,36,7.32,355.21,39000.0,33.69,791,7,5,27.53,7,0,2,7,6,1
8700.0,36,12.24,219.24,20000.0,29.33,676,8,8,20.78,12,0,2,8,21,1
25700.0,36,2.44,240.35,50000.0,35.02,809,4,11,55.66,1,2,2,3,11,1
25100.0,36,12.39,188.86,24000.0,1.78,696,1,4,46.47,17,0,2,2,32,0
7100.0,36,10.98,604.23,34000.0,27.15,642,8,14,53.64,22,0,1,4,36,0
16800.0,36,10.25,383.85,126000.0,27.74,645,8,4,45.41,17,1,1,3,36,1
24700.0,60,11.2,256.39,58000.0,19.88,726,4,13,39.41,28,2,2,3,1,1
28900.0,60,5.78,381.27,14000.0,29.72,696,5,10,59.96,6,0,1,9,35,0
66100.0,60,11.59,64.28,59000.0,0.96,633,9,14,22.4,6,0,2,0,7,1
4000.0,36,4.96,478.53,28000.0,41.92,729,2,10,42.64,3,1,2,9,47,0
41300.0,60,15.58,673.3,78000.0,3.54,565,5,1,45.39,12,1,0,1,11,0
59100.0,60,7.43,460.96,53000.0,2.12,701,10,5,48.17,16,2,1,0,45,0
8400.0,60,15.27,842.74,31000.0,22.09,682,5,12,37.76,12,0,0,2,8,0
9800.0,36,7.59,310.97,44000.0,23.87,762,0,10,54.94,9,0,2,3,48,0
18100.0,36,8.17,1023.73,33000.0,50.53,730,0,6,36.99,14,1,1,4,12,0
28500.0,60,13.37,789.83,54000.0,19.75,547,0,10,1.1,11,1,0,8,9,0
53600.0,36,3.74,440.71,65000.0,24.67,586,3,7,43.06,26,0,0,3,30,0
53700.0,36,15.83,546.91,48000.0,4.26,522,2,1,38.41,2,1,2,3,32,0
9600.0,60,1.04,1034.06,59000.0,40.62,651,7,8,64.68,23,0,1,5,9,0
11600.0,60,8.34,1213.27,28000.0,40.6,735,2,10,60.28,17,1,2,5,28,0
44200.0,36,20.54,1002.1,51000.0,12.98,699,6,4,27.99,24,1,2,1,11,0
16000.0,60,10.93,957.13,34000.0,42.56,833,6,2,28.51,24,0,1,7,36,0
65500.0,60,16.05,401.16,27000.0,28.02,623,4,12,34.99,6,0,1,8,22,0
30900.0,60,7.11,58.47,56000.0,4.91,694,10,5,68.78,10,0,0,7,35,0
7800.0,36,12.58,606.71,26000.0,0.39,668,3,5,42.21,18,2,1,8,14,0
14900.0,60,8.53,254.39,18000.0,40.29,774,5,5,52.01,3,0,2,4,29,0
33400.0,36,10.98,763.71,65000.0,10.25,538,2,14,28.15,11,0,2,6,32,0
16100.0,60,4.47,692.97,52000.0,58.34,824,0,10,43.37,19,1,0,6,11,0
11100.0,60,11.91,1343.87,57000.0,19.59,640,1,5,24.04,1,0,1,9,13,0
20500.0,36,14.33,591.02,4000.0,27.01,738,0,9,71.45,6,1,0,1,43,1
43700.0,60,12.58,735.63,54000.0,16.28,728,0,4,28.37,18,0,1,1,34,0
55000.0,60,16.79,190.17,54000.0,3.95,570,6,13,31.84,3,1,1,7,35,1
12700.0,60,5.76,27.44,63000.0,20.87,586,2,4,41.55,15,1,0,8,4,1
13100.0,36,8.42,636.94,35000.0,47.17,668,5,14,24.36,4,1,1,6,44,0
19100.0,60,4.41,1169.58,45000.0,34.94,704,2,4,31.04,2,2,0,8,48,0
13000.0,36,8.79,150.39,43000.0,29.62,637,6,10,50.66,3,0,2,1,33,1
14100.0,36,10.28,481.6,51000.0,3.83,632,6,5,49.94,15,2,1,2,34,0
31600.0,36,9.23,492.24,43000.0,12.54,737,2,12,64.93,19,0,2,0,38,0
14500.0,60,6.42,760.52,33000.0,37.07,777,5,7,19.82,7,0,2,0,18,0
46200.0,60,12.6,459.62,79000.0,16.65,537,1,11,44.28,9,2,1,4,36,1
64200.0,36,8.82,708.89,12000.0,19.95,735,9,14,53.93,14,4,0,4,17,1
22100.0,60,10.17,537.31,38000.0,28.94,679,1,8,44.71,22,4,2,8,40,0
37800.0,60,6.28,446.84,31000.0,35.84,690,6,3,0.0,3,0,1,2,27,1
5400.0,60,10.14,942.31,28000.0,50.02,713,8,9,39.81,8,0,0,5,36,0
59300.0,60,14.26,677.85,52000.0,7.22,600,4,9,2.07,17,1,0,1,36,0
21800.0,60,5.56,54.53,63000.0,5.64,691,7,6,58.9,26,0,0,4,32,1
5500.0,36,3.54,471.15,62000.0,28.12,675,10,4,44.63,9,0,1,0,17,1
2100.0,60,7.5,1128.07,64000.0,26.84,738,9,7,23.12,26,2,2,3,0,0
5000.0,36,8.38,552.59,38000.0,31.74,600,3,8,49.65,18,0,2,1,27,0
23400.0,60,7.48,267.1,49000.0,0.29,690,0,14,37.54,13,0,2,0,36,1
58200.0,36,18.74,414.82,65000.0,6.49,657,3,6,32.14,10,1,2,6,2,0
1200.0,60,17.55,905.6,15000.0,24.38,794,10,2,26.15,15,1,2,5,16,0
2300.0,36,8.8,104.22,74000.0,9.41,565,6,12,5.09,16,1,2,1,27,1
32300.0,60,11.5,747.34,36000.0,9.74,629,8,3,52.62,22,0,2,2,4,0
41800.0,36,10.87,241.41,43000.0,10.71,626,5,1,39.13,17,0,2,6,19,0
47000.0,36,15.36,938.42,60000.0,18.03,719,3,11,35.41,24,0,2,4,21,0
23800.0,36,11.36,808.32,79000.0,8.14,633,5,6,46.54,16,0,2,8,36,0
13200.0,60,15.07,684.4,57000.0,18.55,743,7,13,70.03,19,3,0,8,6,0
27400.0,36,8.4,365.42,57000.0,14.17,700,0,12,42.85,4,0,1,5,46,0
17800.0,60,9.0,1170.79,68000.0,12.84,722,10,9,27.71,6,1,1,6,41,0
40700.0,36,6.67,170.04,35000.0,23.46,768,6,2,44.3,6,2,0,8,18,1
13900.0,36,5.97,1108.44,35000.0,29.4,681,0,1,23.18,23,1,0,8,45,0
25300.0,60,17.41,671.32,17000.0,31.41,530,0,1,67.65,18,1,1,5,27,0
28700.0,60,9.14,865.33,41000.0,13.82,632,3,1,40.25,13,0,2,8,35,0
3300.0,36,15.13,850.25,65000.0,2.35,679,0,12,48.75,20,2,1,7,24,0
18600.0,60,12.56,314.91,99000.0,21.58,631,2,10,4.55,29,1,0,9,23,1
33000.0,60,8.94,617.0,53000.0,21.02,683,0,11,54.35,4,0,1,2,36,0
11700.0,36,2.13,656.21,54000.0,47.71,792,10,1,68.46,12,1,1,2,29,0
10400.0,36,6.96,2.97,58000.0,18.3,696,0,1,78.55,11,0,1,6,48,1
40900.0,60,13.23,697.68,43000.0,19.62,605,0,11,42.9,14,0,0,5,0,0
12300.0,60,2.72,304.28,48000.0,25.82,799,7,9,6.67,25,0,1,1,38,0
1600.0,60,20.19,675.51,31000.0,9.49,701,2,2,18.05,16,1,1,5,8,0
44200.0,60,7.29,327.96,62000.0,21.29,582,2,10,58.36,12,1,0,7,24,0
6500.0,60,6.44,38.03,45000.0,11.47,721,2,13,55.91,29,2,1,1,3,0
6100.0,60,7.06,457.57,68000.0,9.59,692,2,11,37.03,14,0,2,9,21,0
11200.0,36,5.76,256.84,50000.0,23.43,696,1,12,19.5,16,1,2,0,37,1
29700.0,60,11.96,53.71,77000.0,10.24,564,2,14,9.03,3,0,1,6,14,1
6000.0,60,7.6,157.04,60000.0,9.33,615,4,13,49.22,18,0,1,7,44,1
44900.0,36,5.55,269.33,85000.0,5.51,737,6,6,24.82,14,3,0,5,8,0
43500.0,60,10.84,381.6,70000.0,21.45,660,10,2,54.28,26,1,1,2,40,1
23900.0,60,8.54,482.44,47000.0,37.38,719,9,13,40.21,22,1,2,3,29,1
45800.0,36,15.77,591.71,33000.0,16.81,747,7,14,22.36,10,0,0,3,19,0
10100.0,60,18.84,250.49,81000.0,17.93,665,3,4,46.55,26,0,0,1,16,1
12800.0,36,14.35,136.08,76000.0,7.12,589,1,13,3.14,20,1,0,1,14,1
13800.0,60,8.43,975.52,63000.0,0.91,622,8,13,41.0,21,4,1,4,17,0
23800.0,36,9.31,510.78,51000.0,29.02,648,4,10,65.75,25,1,2,6,13,1
19600.0,60,20.77,453.87,42000.0,0.04,704,5,6,46.01,26,2,0,3,46,0
700.0,60,13.53,515.23,55000.0,0.04,653,8,11,0.0,7,1,0,1,44,0
4100.0,36,16.22,559.54,21000.0,32.22,773,7,9,15.77,3,0,2,8,3,0
7500.0,36,22.01,958.41,37000.0,16.74,698,4,11,44.91,7,1,0,6,26,0
22300.0,60,7.38,90.21,44000.0,24.13,751,2,5,58.92,28,0,0,1,16,0
57800.0,60,16.19,432.67,53000.0,0.54,677,1,6,29.7,19,2,2,6,5,0
24700.0,60,16.81,711.69,66000.0,7.09,628,5,2,41.68,16,0,0,9,23,0
41900.0,36,8.26,200.38,31000.0,9.03,661,8,8,24.22,8,0,0,8,39,1
44600.0,60,10.99,1144.07,32000.0,46.9,693,7,6,11.47,6,0,1,7,19,0
1400.0,60,4.88,326.51,100000.0,0.08,608,8,6,17.17,28,0,0,9,27,1
21200.0,60,9.12,511.24,47000.0,39.07,710,4,9,51.01,17,0,0,2,28,0
35500.0,60,9.77,828.96,34000.0,29.71,546,2,9,34.25,14,2,0,0,9,0
9100.0,36,6.59,178.2,43000.0,36.52,738,8,9,18.47,23,1,0,3,21,1
27500.0,36,14.95,269.09,54000.0,3.93,560,10,4,43.53,24,1,2,9,39,0
1800.0,60,16.52,80.12,4000.0,22.12,723,0,1,28.65,13,1,0,7,4,0
42900.0,60,14.1,603.13,58000.0,9.22,566,10,11,49.24,17,0,0,0,47,0
33700.0,36,17.16,274.77,61000.0,1.35,614,2,8,9.96,14,1,0,2,41,1
19400.0,36,14.16,849.4,40000.0,34.13,713,0,11,46.2,18,0,1,2,2,0
42900.0,60,5.51,61.91,88000.0,22.3,686,8,3,53.62,3,0,0,0,19,1
700.0,36,2.72,132.66,67000.0,14.18,716,5,4,36.02,21,1,0,0,41,0
15100.0,60,5.24,330.63,55000.0,2.6,714,6,9,40.86,24,0,0,3,27,1
18500.0,60,12.2,465.41,16000.0,0.1,748,7,6,32.62,24,1,1,5,24,0
4200.0,60,12.59,1162.45,38000.0,14.12,557,4,9,63.31,19,0,1,0,35,0
25200.0,36,14.29,761.41,33000.0,15.58,660,1,1,39.68,3,1,1,9,4,0
11600.0,36,1.28,978.19,59000.0,24.79,631,5,8,37.29,23,0,2,3,22,0
15800.0,36,8.6,445.62,29000.0,11.62,638,7,10,33.46,10,2,1,8,45,0
300.0,60,11.95,578.18,32000.0,31.43,606,3,5,34.34,28,1,1,6,13,0
36000.0,60,17.93,617.98,49000.0,1.95,634,4,8,42.18,14,0,0,7,14,0
39200.0,36,21.61,1070.35,22000.0,49.46,707,8,1,32.93,27,2,0,1,16,0
34100.0,60,3.87,311.27,91000.0,8.93,727,5,1,25.28,3,0,1,4,14,1
6000.0,60,9.56,1067.27,32000.0,33.16,698,9,12,62.17,9,2,1,7,15,0
58600.0,36,9.96,288.49,55000.0,7.96,690,10,11,78.52,21,3,1,4,12,1
33900.0,60,13.56,63.43,86000.0,8.01,583,2,4,38.38,20,1,2,1,6,1
55400.0,60,17.88,1002.58,38000.0,26.51,619,1,10,65.87,4,1,0,1,5,0
15500.0,36,1.26,378.99,44000.0,47.79,793,4,9,40.29,17,1,0,3,31,0
8800.0,60,5.56,321.94,43000.0,18.99,687,4,8,33.22,9,2,1,6,11,0
9200.0,36,6.62,773.0,55000.0,17.55,705,4,8,66.44,6,0,0,7,49,0
19800.0,36,11.76,1203.29,35000.0,42.32,646,5,6,26.09,19,0,2,5,34,0
32000.0,36,12.18,458.53,25000.0,19.92,778,5,3,57.29,17,0,0,3,49,0
26400.0,36,5.52,628.92,44000.0,39.68,733,3,5,52.99,26,3,1,9,35,0
44000.0,60,12.52,286.69,68000.0,14.93,726,5,6,45.53,6,3,1,4,41,0
12800.0,60,0.72,824.36,64000.0,34.87,643,8,14,25.96,28,3,0,5,11,1
400.0,60,0.32,441.59,47000.0,19.29,669,5,2,68.94,20,1,1,9,7,0
61600.0,36,11.91,857.67,50000.0,20.69,582,2,9,77.76,20,0,2,7,4,0
15300.0,36,14.41,1178.41,44000.0,22.13,587,0,5,36.23,9,0,1,3,39,0
5500.0,36,7.77,306.62,50000.0,22.99,783,8,8,27.21,22,1,2,8,47,1
12900.0,60,0.61,417.13,62000.0,45.93,764,10,6,51.73,18,0,1,8,32,1
58400.0,36,0.62,410.7,42000.0,28.35,623,7,11,53.13,16,0,2,3,33,1
46000.0,60,5.75,432.14,44000.0,1.86,714,2,2,55.27,2,0,0,1,31,1
35200.0,60,10.9,521.05,78000.0,10.41,627,6,1,77.17,13,1,2,3,15,0
5100.0,36,12.85,134.52,87000.0,19.69,659,6,13,49.53,26,1,1,6,6,1
48100.0,60,15.09,711.69,49000.0,18.91,546,8,7,45.63,27,2,1,4,12,0
